,QWK,MAE,within1,exact,spearman,RMSE_cont
T0 frozen MiniLM + Ridge,0.327093874980552,0.8478396994364433,0.8171571696931748,0.3512836568566061,0.458157181799068,1.0403464674521223
T1 MiniLM fine-tuned (text only),0.4179959077222678,0.7952410770194114,0.8541014402003757,0.36318096430807767,0.4885504372235433,1.010983078220397
T2 MiniLM fine-tuned + structured,0.4174434209845128,0.8002504696305573,0.8490920475892298,0.36192861615529115,0.47927014026524106,1.015323881160746
Part 2 RandomForest (structured),0.5221682005366514,0.7182216656230432,0.8847839699436444,0.40388227927363807,0.5833500986353592,0.9500233926346715
